river_nr	x	y	river
1	556353	190850	rhine
1	556354	190893	rhine
1	556380	190942	rhine
1	556387	190948	rhine
1	556395	190948	rhine
1	556401	190943	rhine
1	556412	190917	rhine
1	556421	190912	rhine
1	556430	190915	rhine
1	556494	190968	rhine
1	556484	190971	rhine
1	556490	190976	rhine
1	556508	190977	rhine
1	556544	190994	rhine
1	556597	191007	rhine
1	556608	191014	rhine
1	556621	191030	rhine
1	556644	191070	rhine
1	556649	191088	rhine
1	556657	191102	rhine
1	556671	191103	rhine
1	556681	191090	rhine
1	556699	191076	rhine
1	556709	191077	rhine
1	556718	191083	rhine
1	556721	191085	rhine
1	556731	191093	rhine
1	556741	191100	rhine
1	556760	191108	rhine
1	556778	191127	rhine
1	556795	191157	rhine
1	556816	191212	rhine
1	556818	191216	rhine
1	556820	191223	rhine
1	556828	191254	rhine
1	556833	191263	rhine
1	556857	191300	rhine
1	556858	191307	rhine
1	556859	191316	rhine
1	556855	191351	rhine
1	556856	191353	rhine
1	556868	191367	rhine
1	556901	191378	rhine
1	556915	191391	rhine
1	556925	191410	rhine
1	556933	191431	rhine
1	556938	191437	rhine
1	556947	191443	rhine
1	556976	191451	rhine
1	556994	191461	rhine
1	557007	191475	rhine
1	557013	191489	rhine
1	557017	191497	rhine
1	557017	191501	rhine
1	557016	191517	rhine
1	557016	191520	rhine
1	557015	191535	rhine
1	557018	191558	rhine
1	557026	191565	rhine
1	557053	191580	rhine
1	557076	191594	rhine
1	557105	191612	rhine
1	557109	191614	rhine
1	557119	191628	rhine
1	557124	191647	rhine
1	557112	191673	rhine
1	557116	191680	rhine
1	557145	191694	rhine
1	557151	191703	rhine
1	557159	191704	rhine
1	557219	191777	rhine
1	557260	191815	rhine
1	557303	191827	rhine
1	557319	191838	rhine
1	557383	191892	rhine
1	557403	191905	rhine
1	557415	191916	rhine
1	557438	191928	rhine
1	557448	191937	rhine
1	557455	191948	rhine
1	557465	191973	rhine
1	557478	191987	rhine
1	557514	192016	rhine
1	557524	192026	rhine
1	557545	192039	rhine
1	557552	192047	rhine
1	557556	192054	rhine
1	557557	192061	rhine
1	557559	192064	rhine
1	557558	192072	rhine
1	557564	192086	rhine
1	557581	192103	rhine
1	557588	192117	rhine
1	557598	192131	rhine
1	557602	192137	rhine
1	557605	192142	rhine
1	557612	192161	rhine
1	557612	192168	rhine
1	557609	192174	rhine
1	557610	192184	rhine
1	557617	192186	rhine
1	557628	192186	rhine
1	557641	192189	rhine
1	557656	192196	rhine
1	557660	192200	rhine
1	557670	192214	rhine
1	557675	192222	rhine
1	557693	192265	rhine
1	557698	192287	rhine
1	557699	192300	rhine
1	557704	192313	rhine
1	557724	192320	rhine
1	557734	192321	rhine
