#BDM_EPT_DATA_VERSION_20150828														
#gives_all_records_of_macroinvertebrates_from_2009-2014														
sort_nr	year	locality	xkoord	ykoord	drainage	species	genus	family	order	class	IBCH_EPT	nr_ind		
2601	2009	623246	623000	246600	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2637	2009	647198	647365	198007	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2681	2009	653174	653061	174730	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2714	2009	671246	671000	246245	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2748	2009	683214	683015	214059	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2830	2009	707246	707000	246000	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2943	2009	719278	718999	278231	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2958	2009	725126	725798	127000	TICINO	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2978	2009	725174	725019	175000	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
3003	2009	725222	725782	220007	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2715	2009	671246	671000	246245	RHEIN	Ameletus_inopinatus	Ameletus	Baetidae	Ephemeroptera	Insecta	EPT	1		
2443	2009	587207	587612	207000	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2478	2009	593238	594002	238627	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2511	2009	599190	599364	191089	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2548	2009	617214	617790	215000	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2578	2009	623158	622779	158547	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2621	2009	647134	647015	134117	RHONE	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2639	2009	647198	647365	198007	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2682	2009	653174	653061	174730	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2749	2009	683214	683015	214059	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2804	2009	707166	707793	166000	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2832	2009	707246	707000	246000	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2893	2009	713174	713194	174927	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
